timestamp	seconds	frame_number	source_master_sha256	reasons	filename
00:01:00.000	60.000	1800	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-037-at-60.000s.jpg
00:01:02.279	62.279	1868	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary	frame-038-at-62.279s.jpg
00:01:05.000	65.000	1950	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-039-at-65.000s.jpg
00:01:08.044	68.044	2041	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary	frame-040-at-68.044s.jpg
00:01:10.000	70.000	2100	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-041-at-70.000s.jpg
00:01:12.113	72.113	2163	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	transition 5 before	frame-042-at-72.113s.jpg
00:01:12.313	72.313	2169	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary; transition 5 exact	frame-043-at-72.313s.jpg
00:01:12.513	72.513	2175	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	transition 5 after	frame-044-at-72.513s.jpg
00:01:14.700	74.700	2241	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	75.0s defect bracket before	frame-045-at-74.700s.jpg
00:01:15.000	75.000	2250	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	75.0s exact defect sample; five-second cadence	frame-046-at-75.000s.jpg
00:01:15.300	75.300	2259	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	75.0s defect bracket after	frame-047-at-75.300s.jpg
00:01:18.968	78.968	2369	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary	frame-048-at-78.968s.jpg
00:01:19.700	79.700	2391	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	80.0s defect bracket before	frame-049-at-79.700s.jpg
00:01:20.000	80.000	2400	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	80.0s exact defect sample; five-second cadence	frame-050-at-80.000s.jpg
00:01:20.300	80.300	2409	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	80.0s defect bracket after	frame-051-at-80.300s.jpg
