timestamp	seconds	frame_number	source_master_sha256	reason	filename
00:00:00.000	0.000000	0	ccf781aff8f3dcc9f74b9eaf61c4cd0b72ca3ad18f30f116c9344fa65b2f7ef6	mandatory opening t=0	decoded-frames/frame-000-f0000-at-00-00-00-000.jpg
00:00:00.100	0.100000	3	ccf781aff8f3dcc9f74b9eaf61c4cd0b72ca3ad18f30f116c9344fa65b2f7ef6	mandatory opening t=0.1; narration cue boundary	decoded-frames/frame-001-f0003-at-00-00-00-100.jpg
00:00:03.720	3.720000	112	ccf781aff8f3dcc9f74b9eaf61c4cd0b72ca3ad18f30f116c9344fa65b2f7ef6	narration cue boundary	decoded-frames/frame-002-f0112-at-00-00-03-720.jpg
00:00:05.000	5.000000	150	ccf781aff8f3dcc9f74b9eaf61c4cd0b72ca3ad18f30f116c9344fa65b2f7ef6	five-second cadence	decoded-frames/frame-003-f0150-at-00-00-05-000.jpg
00:00:06.980	6.980000	209	ccf781aff8f3dcc9f74b9eaf61c4cd0b72ca3ad18f30f116c9344fa65b2f7ef6	narration cue boundary	decoded-frames/frame-004-f0209-at-00-00-06-980.jpg
00:00:08.600	8.600000	258	ccf781aff8f3dcc9f74b9eaf61c4cd0b72ca3ad18f30f116c9344fa65b2f7ef6	narration cue boundary	decoded-frames/frame-005-f0258-at-00-00-08-600.jpg
00:00:10.000	10.000000	300	ccf781aff8f3dcc9f74b9eaf61c4cd0b72ca3ad18f30f116c9344fa65b2f7ef6	five-second cadence	decoded-frames/frame-006-f0300-at-00-00-10-000.jpg
00:00:10.960	10.960000	329	ccf781aff8f3dcc9f74b9eaf61c4cd0b72ca3ad18f30f116c9344fa65b2f7ef6	narration cue boundary	decoded-frames/frame-007-f0329-at-00-00-10-960.jpg
00:00:13.560	13.560000	407	ccf781aff8f3dcc9f74b9eaf61c4cd0b72ca3ad18f30f116c9344fa65b2f7ef6	narration cue boundary	decoded-frames/frame-008-f0407-at-00-00-13-560.jpg
00:00:15.000	15.000000	450	ccf781aff8f3dcc9f74b9eaf61c4cd0b72ca3ad18f30f116c9344fa65b2f7ef6	five-second cadence	decoded-frames/frame-009-f0450-at-00-00-15-000.jpg
