timestamp	seconds	frame_number	source_master_sha256	reason	filename
00:00:40.000	40.000000	1200	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-032-f1200-at-00-00-40-000.jpg
00:00:41.880	41.880000	1256	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-033-f1256-at-00-00-41-880.jpg
00:00:44.467	44.466667	1334	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	pre-transition bracket	decoded-frames/frame-034-f1334-at-00-00-44-467.jpg
00:00:44.667	44.666667	1340	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	scene transition	decoded-frames/frame-035-f1340-at-00-00-44-667.jpg
00:00:44.680	44.680000	1340	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-036-f1340-at-00-00-44-680.jpg
00:00:44.867	44.866667	1346	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	post-transition bracket	decoded-frames/frame-037-f1346-at-00-00-44-867.jpg
00:00:45.000	45.000000	1350	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-038-f1350-at-00-00-45-000.jpg
00:00:46.900	46.900000	1407	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-039-f1407-at-00-00-46-900.jpg
00:00:48.320	48.320000	1450	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-040-f1450-at-00-00-48-320.jpg
00:00:50.000	50.000000	1500	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-041-f1500-at-00-00-50-000.jpg
00:00:50.760	50.760000	1523	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-042-f1523-at-00-00-50-760.jpg
00:00:53.354	53.354000	1601	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-043-f1601-at-00-00-53-354.jpg
00:00:55.000	55.000000	1650	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-044-f1650-at-00-00-55-000.jpg
00:00:55.920	55.920000	1678	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-045-f1678-at-00-00-55-920.jpg
00:00:57.260	57.260000	1718	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-046-f1718-at-00-00-57-260.jpg
00:00:59.640	59.640000	1789	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-047-f1789-at-00-00-59-640.jpg
00:01:00.000	60.000000	1800	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-048-f1800-at-00-01-00-000.jpg
00:01:01.400	61.400000	1842	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	pre-transition bracket	decoded-frames/frame-049-f1842-at-00-01-01-400.jpg
00:01:01.412	61.412000	1842	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect pre-bracket	decoded-frames/frame-050-f1842-at-00-01-01-412.jpg
00:01:01.600	61.600000	1848	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	scene transition	decoded-frames/frame-051-f1848-at-00-01-01-600.jpg
00:01:01.612	61.612000	1848	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary; required exact defect timestamp	decoded-frames/frame-052-f1848-at-00-01-01-612.jpg
00:01:01.800	61.800000	1854	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	post-transition bracket	decoded-frames/frame-053-f1854-at-00-01-01-800.jpg
00:01:01.812	61.812000	1854	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect post-bracket	decoded-frames/frame-054-f1854-at-00-01-01-812.jpg
00:01:03.760	63.760000	1913	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-055-f1913-at-00-01-03-760.jpg
00:01:05.000	65.000000	1950	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-056-f1950-at-00-01-05-000.jpg
00:01:05.048	65.048000	1951	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-057-f1951-at-00-01-05-048.jpg
00:01:08.200	68.200000	2046	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-058-f2046-at-00-01-08-200.jpg
00:01:10.000	70.000000	2100	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-059-f2100-at-00-01-10-000.jpg
00:01:10.340	70.340000	2110	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-060-f2110-at-00-01-10-340.jpg
00:01:13.120	73.120000	2194	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-061-f2194-at-00-01-13-120.jpg
00:01:14.767	74.766667	2243	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	pre-transition bracket	decoded-frames/frame-062-f2243-at-00-01-14-767.jpg
00:01:14.791	74.791000	2244	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect pre-bracket	decoded-frames/frame-063-f2244-at-00-01-14-791.jpg
00:01:14.967	74.966667	2249	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	scene transition	decoded-frames/frame-064-f2249-at-00-01-14-967.jpg
00:01:14.991	74.991000	2250	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary; required exact defect timestamp	decoded-frames/frame-065-f2250-at-00-01-14-991.jpg
00:01:15.000	75.000000	2250	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-066-f2250-at-00-01-15-000.jpg
00:01:15.167	75.166667	2255	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	post-transition bracket	decoded-frames/frame-067-f2255-at-00-01-15-167.jpg
00:01:15.191	75.191000	2256	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect post-bracket	decoded-frames/frame-068-f2256-at-00-01-15-191.jpg
00:01:17.280	77.280000	2318	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-069-f2318-at-00-01-17-280.jpg
00:01:20.000	80.000000	2400	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-070-f2400-at-00-01-20-000.jpg
00:01:20.193	80.193000	2406	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-071-f2406-at-00-01-20-193.jpg
00:01:22.556	82.556000	2477	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-072-f2477-at-00-01-22-556.jpg
